0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Date,CG Scheme,SG Scheme,E Tier I,C Tier I,G Tier I,E Tier II,C Tier II,G Tier II,NPS Lite,Corporate CG,APY,A Tier I,A Tier II,NPS TTS-II
2009-09-29,11.4600,10.0691,10.0369,10.2995,10.5231,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-30,11.4675,10.0694,10.0663,10.3005,10.5233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-01,11.4682,10.0758,10.0952,10.3052,10.5175,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-02,11.4707,10.0760,10.0947,10.3062,10.5176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-03,11.4731,10.0763,10.0947,10.3071,10.5178,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-04,11.4755,10.0765,10.0947,10.3081,10.5180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-05,11.4760,10.0905,10.0920,10.3090,10.5379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-06,11.4798,10.0842,10.0706,10.3109,10.5044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-07,11.4799,10.1332,10.0646,10.3134,10.5019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-08,11.4843,10.1387,10.0456,10.1246,10.5153,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-09,11.4837,10.1239,10.0429,10.1187,10.4768,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-10,11.4861,10.1243,10.0212,10.1205,10.4769,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-11,11.4884,10.1248,10.0212,10.1223,10.4770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-12,11.4966,10.1700,10.4808,10.1231,10.6884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-13,11.4989,10.1708,10.4808,10.1249,10.6895,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-14,11.5053,10.1693,10.1136,10.1277,10.6865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-15,11.5096,10.1831,10.1368,10.1437,10.6955,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-16,11.5177,10.1739,10.1377,10.1468,10.6652,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-17,11.5196,10.1706,10.1525,10.1490,10.6662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-18,11.5219,10.1719,10.1525,10.1512,10.6673,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-19,11.5242,10.1732,10.1525,10.1534,10.6684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-20,11.5903,10.1801,10.1468,10.1759,10.6656,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-21,11.5927,10.1999,10.1287,10.1804,10.7035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-22,11.5856,10.1855,10.0986,10.1827,10.6842,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-23,11.5865,10.1627,10.0828,10.1851,10.6419,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-24,11.5890,10.1640,10.0857,10.1871,10.6430,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-25,11.5912,10.1653,10.0857,10.1892,10.6440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-10-26,11.5910,10.1780,10.0729,10.1941,10.6701,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
